year,neighbourhood,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house
2001,Agincourt North,3715,1480,0,1055,1295,195,185,5
2001,Agincourt South-Malvern West,3250,1835,0,545,455,105,425,0
2001,Alderwood,3175,315,0,470,50,185,370,0
2001,Annex,1060,6090,5,1980,605,275,3710,165
2001,Banbury-Don Mills,3615,4465,0,240,380,15,1360,0
2001,Bathurst Manor,2405,1550,0,130,130,375,745,0
2001,Bay Street Corridor,10,7575,0,0,15,0,240,0
2001,Bayview Village,2170,630,0,170,765,15,640,0
2001,Bayview Woods-Steeles,1650,1715,0,925,105,10,170,5
2001,Bedford Park-Nortown,4985,2080,0,45,40,210,1235,15
2001,Beechborough-Greenbrook,745,715,0,45,20,120,940,5
2001,Bendale,4385,2015,0,440,220,535,165,0
2001,Birchcliffe-Cliffside,5470,880,0,430,60,560,1955,10
2001,Black Creek,855,4530,0,675,1125,5,85,5
2001,Blake-Jones,660,505,0,985,455,125,305,55
2001,Briar Hill-Belgravia,2010,2430,0,150,0,195,760,10
2001,Bridle Path-Sunnybrook-York Mills,2275,110,0,25,15,10,20,0
2001,Broadview North,960,3160,0,465,75,40,795,5
2001,Brookhaven-Amesbury,1705,3415,0,265,0,55,435,15
2001,Cabbagetown-South St.James Town,585,3170,0,470,575,125,790,10
2001,Caledonia-Fairbank,1940,175,0,435,10,330,750,5
2001,Casa Loma,1035,1700,0,415,190,185,1090,5
2001,Centennial Scarborough,3210,0,0,175,365,35,25,15
2001,Church-Yonge Corridor,65,11760,0,50,270,35,1215,30
2001,Clairlea-Birchmount,3530,1645,0,825,75,275,520,5
2001,Clanton Park,2610,805,5,15,10,445,1235,5
2001,Cliffcrest,3515,1375,5,80,275,205,125,5
2001,Corso Italia-Davenport,1960,15,0,1730,95,430,1000,30
2001,Danforth,785,345,0,1685,50,165,870,65
2001,Danforth-East York,3320,780,0,1800,25,350,530,85
2001,Don Valley Village,2150,5095,0,535,1445,45,70,5
2001,Dorset Park,2065,3805,0,305,925,205,340,0
2001,Dovercourt-Wallace Emerson-Juncti,2670,1330,0,4400,875,660,2610,140
2001,Downsview-Roding-CFB,4410,3165,0,820,475,180,3270,45
2001,Dufferin Grove,660,1160,0,1290,160,410,1195,45
2001,East End-Danforth,2035,2035,0,2075,305,390,1725,45
2001,Edenbridge-Humber Valley,2620,1790,0,85,180,35,1075,0
2001,Eglinton East,1890,4965,0,155,195,220,425,5
2001,Elms-Old Rexdale,1185,1415,0,85,430,10,25,0
2001,Englemount-Lawrence,2435,2355,0,10,225,125,2355,25
2001,Eringate-Centennial-West Deane,4040,1655,0,290,470,10,70,0
2001,Etobicoke West Mall,1025,2685,0,105,220,20,65,0
2001,Flemingdon Park,15,6265,0,180,805,0,480,0
2001,Forest Hill North,1565,3380,0,10,0,0,485,5
2001,Forest Hill South,1815,2440,5,65,45,85,1010,15
2001,Glenfield-Jane Heights,510,3655,0,3855,1270,10,760,0
2001,Greenwood-Coxwell,1410,535,0,2505,500,70,1115,10
2001,Guildwood,2310,1090,0,120,295,5,85,0
2001,Henry Farm,505,2935,0,60,480,0,0,0
2001,High Park North,1600,5705,0,660,105,685,1615,35
2001,High Park-Swansea,3160,1910,0,565,70,1045,2610,20
2001,Highland Creek,3210,0,0,0,0,275,0,0
2001,Hillcrest Village,1800,1945,0,1110,1090,40,380,0
2001,Humber Heights-Westmount,1850,2055,5,55,50,5,170,0
2001,Humber Summit,420,725,0,2245,140,5,180,0
2001,Humbermede,575,1570,0,1775,60,25,470,5
2001,Humewood-Cedarvale,2005,1750,0,265,20,185,2335,0
2001,Ionview,1375,3055,0,405,105,30,40,0
2001,Islington-City Centre West,5365,6200,0,135,185,80,450,5
2001,Junction Area,1050,100,0,920,430,640,1580,55
2001,Keelesdale-Eglinton West,2035,495,10,320,10,295,660,5
2001,Kennedy Park,1765,2925,5,700,110,405,580,20
2001,Kensington-Chinatown,225,3605,0,680,1035,60,1625,230
2001,Kingsview Village-The Westway,2310,4920,0,175,285,95,185,0
2001,Kingsway South,2370,260,0,65,45,0,340,10
2001,L'Amoreaux,1320,715,0,555,50,65,360,5
2001,Lambton Baby Point,3810,6850,0,1355,2435,190,50,0
2001,Lansing-Westgate,2635,1190,5,60,0,25,580,10
2001,Lawrence Park North,3410,170,0,830,25,155,965,0
2001,Lawrence Park South,3590,570,0,170,70,190,845,40
2001,Leaside-Bennington,3660,550,0,775,90,50,1375,35
2001,Little Portugal,595,335,0,1255,805,260,1445,90
2001,Long Branch,1605,920,0,60,80,220,1630,35
2001,Malvern,4285,2815,0,1430,3075,230,110,45
2001,Maple Leaf,1825,935,0,135,95,30,510,10
2001,Markland Wood,1805,2010,0,10,260,170,0,0
2001,Milliken,4090,1860,0,545,565,160,50,50
2001,Mimico,2715,4470,0,260,555,430,2835,60
2001,Morningside,2245,2185,0,35,820,150,200,0
2001,Moss Park,230,4360,0,320,550,185,1240,45
2001,Mount Dennis,1145,2275,0,120,180,150,675,0
2001,Mount Olive-Silverstone-Jamestown,1945,5865,5,225,1000,320,240,5
2001,Mount Pleasant East,2380,1980,0,1625,140,160,1020,10
2001,Mount Pleasant West,575,11060,0,165,340,80,1845,65
2001,New Toronto,1730,1040,0,215,75,160,1645,5
2001,Newtonbrook East,3120,2200,0,5,25,50,275,0
2001,Newtonbrook West,3025,3160,0,670,365,15,300,5
2001,Niagara,85,3115,0,225,800,150,1210,15
2001,North Riverdale,995,655,0,1710,240,160,1270,35
2001,North St.James Town,40,7920,0,90,45,25,310,25
2001,O'Connor-Parkview,1400,3235,0,180,205,105,80,35
